surface,edge,station,x_m,y_m,z_m,chord_m,span_station_m,next_segment_dihedral_deg,symmetric
wing,LE,0,0.39,0.0,0.0,0.275,0.0,4.237,True
wing,TE,0,0.665,0.0,0.0,0.275,0.0,4.237,True
wing,LE,1,0.399211,0.365315,0.027064,0.265789,0.366316,4.237,True
wing,TE,1,0.665,0.365315,0.027064,0.265789,0.366316,4.237,True
wing,LE,2,0.433102,0.730629,0.054128,0.231898,0.732632,4.237,True
wing,TE,2,0.665,0.730629,0.054128,0.231898,0.732632,4.237,True
wing,LE,3,0.473327,0.919171,0.068096,0.191673,0.92169,4.237,True
wing,TE,3,0.665,0.919171,0.068096,0.191673,0.92169,4.237,True
wing,LE,4,0.527675,0.997267,0.073882,0.137325,1.0,,True
wing,TE,4,0.665,0.997267,0.073882,0.137325,1.0,,True
vtail,LE,0,1.546913,0.0,0.0,0.091758,0.0,52.34,True
vtail,TE,0,1.638671,0.0,0.0,0.091758,0.0,52.34,True
vtail,LE,1,1.547329,0.142054,0.18406,0.091342,0.232503,,True
vtail,TE,1,1.638671,0.142054,0.18406,0.091342,0.232503,,True
winglet,LE,0,0.57345,0.997267,0.073882,0.09155,0.0,88.0,True
winglet,TE,0,0.664875,0.992479,0.074049,0.09155,0.0,88.0,True
winglet,LE,1,0.593028,1.0,0.152144,0.09155,0.07831,,True
winglet,TE,1,0.684452,0.995212,0.152312,0.09155,0.07831,,True
