part,qty,od_mm,wall_mm,bore_mm,length_mm,mass_g,root_moment_Nm,stress_MPa,stress_allow_MPa,stress_margin_pct,tip_defl_mm,defl_allow_mm,defl_margin_pct,stock_length_mm
centre carry-through,1,10.0,1.0,8.0,350.0,15.8,20.34,350.9,200.0,-43.0,26.0,17.5,-32.8,700.0
outer panel,2,8.0,1.0,6.0,467.5,16.4,7.04,204.8,200.0,-2.3,33.9,23.4,-31.1,467.5
