part,qty,od_mm,wall_mm,bore_mm,length_mm,mass_g,root_moment_Nm,stress_MPa,stress_allow_MPa,stress_margin_pct,tip_defl_mm,defl_allow_mm,defl_margin_pct,stock_length_mm
centre carry-through,1,10.0,1.0,8.0,350.0,15.8,19.83,342.1,200.0,-41.5,25.4,17.5,-31.1,700.0
outer panel,2,8.0,1.0,6.0,467.5,16.4,6.86,199.6,200.0,0.2,33.1,23.4,-29.3,467.5
