surface,airfoil,span_mm,area_m2,root_chord_mm,tip_chord_mm,sections,mirrored
wing,sd7037,2000.0,0.47809,275.0,137.0,5,True
vtail,naca0009,475.0,0.04337,91.9,90.7,2,True
