surface,station,airfoil,point,x_m,y_m,z_m
wing,1,sd7037,38,0.44068,0.288722,0.006114
wing,1,sd7037,39,0.449071,0.288723,0.006079
wing,1,sd7037,40,0.458382,0.288719,0.006182
wing,1,sd7037,41,0.468517,0.288711,0.006401
wing,1,sd7037,42,0.479365,0.2887,0.006713
wing,1,sd7037,43,0.490798,0.288686,0.007095
wing,1,sd7037,44,0.50269,0.288669,0.007528
wing,1,sd7037,45,0.514896,0.288652,0.007997
wing,1,sd7037,46,0.527276,0.288634,0.008485
wing,1,sd7037,47,0.539687,0.288616,0.008977
wing,1,sd7037,48,0.551985,0.288598,0.009457
wing,1,sd7037,49,0.564027,0.288581,0.009913
wing,1,sd7037,50,0.57567,0.288566,0.010325
wing,1,sd7037,51,0.586778,0.288553,0.010676
wing,1,sd7037,52,0.597204,0.288543,0.010945
wing,1,sd7037,53,0.606805,0.288536,0.011123
wing,1,sd7037,54,0.615448,0.288533,0.011209
wing,1,sd7037,55,0.623005,0.288533,0.011205
wing,1,sd7037,56,0.62936,0.288536,0.011129
wing,1,sd7037,57,0.634415,0.28854,0.011009
wing,1,sd7037,58,0.638092,0.288545,0.01087
wing,1,sd7037,59,0.640328,0.28855,0.010756
wing,1,sd7037,60,0.641078,0.288551,0.010708
wing,2,sd7037,0,0.641078,0.577103,0.021416
wing,2,sd7037,1,0.640429,0.5771,0.021499
wing,2,sd7037,2,0.638519,0.57709,0.021772
wing,2,sd7037,3,0.635428,0.577071,0.022279
wing,2,sd7037,4,0.631261,0.577043,0.02302
wing,2,sd7037,5,0.626132,0.577008,0.023978
wing,2,sd7037,6,0.620144,0.576966,0.025105
wing,2,sd7037,7,0.613393,0.57692,0.026342
wing,2,sd7037,8,0.605962,0.576872,0.02763
wing,2,sd7037,9,0.597924,0.576825,0.02891
wing,2,sd7037,10,0.589341,0.576779,0.030146
wing,2,sd7037,11,0.580292,0.576735,0.031329
wing,2,sd7037,12,0.570879,0.576694,0.032439
wing,2,sd7037,13,0.56121,0.576656,0.033454
wing,2,sd7037,14,0.551387,0.576623,0.03435
wing,2,sd7037,15,0.541515,0.576595,0.0351
wing,2,sd7037,16,0.531694,0.576574,0.035681
wing,2,sd7037,17,0.522027,0.576559,0.036075
wing,2,sd7037,18,0.512602,0.576552,0.036261
wing,2,sd7037,19,0.50351,0.576553,0.036229
wing,2,sd7037,20,0.494833,0.576563,0.035972
wing,2,sd7037,21,0.486645,0.576581,0.035487
wing,2,sd7037,22,0.47902,0.576607,0.034777
wing,2,sd7037,23,0.47202,0.576641,0.033851
wing,2,sd7037,24,0.465703,0.576683,0.032722
wing,2,sd7037,25,0.460113,0.576732,0.031404
wing,2,sd7037,26,0.455282,0.576787,0.029923
wing,2,sd7037,27,0.451236,0.576847,0.028312
wing,2,sd7037,28,0.447989,0.57691,0.026623
