surface,station,airfoil,chord_m,twist_deg,x_le_m,y_le_m,z_le_m,x_te_m,y_te_m,z_te_m,symmetric
wing,0,sd7037,0.251078,0.0,0.39,0.0,0.0,0.641078,0.0,0.0,True
wing,1,sd7037,0.227942,0.0,0.413136,0.288551,0.010708,0.641078,0.288551,0.010708,True
wing,2,sd7037,0.197963,0.0,0.443115,0.577103,0.021416,0.641078,0.577103,0.021416,True
wing,3,sd7037,0.160584,0.0,0.480494,0.87565,0.032495,0.641078,0.87565,0.032495,True
wing,4,sd7037,0.139979,0.0,0.5011,0.999312,0.037084,0.641078,0.999312,0.037084,True
vtail,0,naca0009,0.093604,0.0,1.403953,0.0,0.0,1.497557,0.0,0.0,True
vtail,1,naca0009,0.093034,0.0,1.404523,0.123583,0.170716,1.497557,0.123583,0.170716,True
