surface,edge,station,x_m,y_m,z_m,chord_m,span_station_m,next_segment_dihedral_deg,symmetric
wing,LE,0,0.39,0.0,0.0,0.245,0.0,2.635,True
wing,TE,0,0.635,0.0,0.0,0.245,0.0,2.635,True
wing,LE,1,0.410304,0.288445,0.013275,0.224696,0.28875,2.635,True
wing,TE,1,0.635,0.288445,0.013275,0.224696,0.28875,2.635,True
wing,LE,2,0.438059,0.57689,0.02655,0.196941,0.5775,2.635,True
wing,TE,2,0.635,0.57689,0.02655,0.196941,0.5775,2.635,True
wing,LE,3,0.47401,0.875326,0.040285,0.16099,0.876253,2.635,True
wing,TE,3,0.635,0.875326,0.040285,0.16099,0.876253,2.635,True
wing,LE,4,0.495021,0.998943,0.045974,0.139979,1.0,,True
wing,TE,4,0.635,0.998943,0.045974,0.139979,1.0,,True
vtail,LE,0,1.339712,0.0,0.0,0.106335,0.0,54.849,True
vtail,TE,0,1.446046,0.0,0.0,0.106335,0.0,54.849,True
vtail,LE,1,1.339712,0.125899,0.178798,0.080303,0.218676,,True
vtail,TE,1,1.420015,0.125899,0.178798,0.080303,0.218676,,True
