item,spec,length_mm,qty
"CF tube, centre spar",14.0 x 0.69 mm wall,1155.0,1
"CF tube, outer spar",7.2 x 0.50 mm wall,359.1,2
CF boom tube,12 x 10 mm (1 mm wall),724.8,1
