item,spec,length_mm,qty
"CF tube, centre spar",10.0 x 1.00 mm wall,700.0,1
"CF tube, outer spar",8.0 x 1.00 mm wall,467.5,2
CF boom tube,12 x 10 mm (1 mm wall),605.3,1
