part,qty,od_mm,wall_mm,bore_mm,length_mm,mass_g,root_moment_Nm,stress_MPa,stress_allow_MPa,stress_margin_pct,tip_defl_mm,defl_allow_mm,defl_margin_pct,stock_length_mm
centre carry-through,1,14.0,0.694,12.61,577.5,26.8,18.39,200.0,200.0,0.0,28.9,28.9,-0.0,1155.0
outer panel,2,7.25,0.5,6.25,359.1,6.1,2.79,166.6,200.0,20.1,18.0,18.0,-0.0,359.1
