surface,station,airfoil,chord_m,twist_deg,x_le_m,y_le_m,z_le_m,x_te_m,y_te_m,z_te_m,symmetric
wing,0,sd7037,0.245,0.0,0.39,0.0,0.0,0.635,0.0,0.0,True
wing,1,sd7037,0.224696,0.0,0.410304,0.288445,0.013275,0.635,0.288445,0.013275,True
wing,2,sd7037,0.196941,0.0,0.438059,0.57689,0.02655,0.635,0.57689,0.02655,True
wing,3,sd7037,0.16099,0.0,0.47401,0.875326,0.040285,0.635,0.875326,0.040285,True
wing,4,sd7037,0.139979,0.0,0.495021,0.998943,0.045974,0.635,0.998943,0.045974,True
vtail,0,naca0009,0.106335,0.0,1.339712,0.0,0.0,1.446046,0.0,0.0,True
vtail,1,naca0009,0.080303,0.0,1.339712,0.125899,0.178798,1.420015,0.125899,0.178798,True
