surface,station,airfoil,point,x_m,y_m,z_m
wing,0,sd7037,0,0.635,0.0,0.0
wing,0,sd7037,1,0.634196,-5e-06,0.000103
wing,0,sd7037,2,0.631832,-2.1e-05,0.00044
wing,0,sd7037,3,0.628008,-5.2e-05,0.001067
wing,0,sd7037,4,0.62285,-9.6e-05,0.001985
wing,0,sd7037,5,0.616503,-0.000154,0.003169
wing,0,sd7037,6,0.609091,-0.000221,0.004564
wing,0,sd7037,7,0.600737,-0.000296,0.006093
wing,0,sd7037,8,0.591539,-0.000373,0.007686
wing,0,sd7037,9,0.581592,-0.00045,0.00927
wing,0,sd7037,10,0.570969,-0.000524,0.010799
wing,0,sd7037,11,0.55977,-0.000595,0.012263
wing,0,sd7037,12,0.548121,-0.000661,0.013635
wing,0,sd7037,13,0.536155,-0.000722,0.014891
wing,0,sd7037,14,0.523998,-0.000776,0.015999
wing,0,sd7037,15,0.51178,-0.000821,0.016927
wing,0,sd7037,16,0.499625,-0.000856,0.017646
wing,0,sd7037,17,0.487662,-0.000879,0.018133
wing,0,sd7037,18,0.475997,-0.000891,0.018363
wing,0,sd7037,19,0.464745,-0.000889,0.018324
wing,0,sd7037,20,0.454006,-0.000873,0.018006
wing,0,sd7037,21,0.443873,-0.000844,0.017406
wing,0,sd7037,22,0.434436,-0.000802,0.016528
wing,0,sd7037,23,0.425772,-0.000746,0.015383
wing,0,sd7037,24,0.417955,-0.000678,0.013985
wing,0,sd7037,25,0.411036,-0.000599,0.012356
wing,0,sd7037,26,0.405058,-0.00051,0.010523
wing,0,sd7037,27,0.40005,-0.000414,0.008531
wing,0,sd7037,28,0.396032,-0.000312,0.006441
wing,0,sd7037,29,0.393018,-0.00021,0.004331
wing,0,sd7037,30,0.391024,-0.000111,0.002291
wing,0,sd7037,31,0.390051,-2.2e-05,0.000453
wing,0,sd7037,32,0.390311,4.7e-05,-0.000962
wing,0,sd7037,33,0.391975,0.0001,-0.002053
wing,0,sd7037,34,0.394993,0.000146,-0.003003
wing,0,sd7037,35,0.39931,0.000183,-0.003771
wing,0,sd7037,36,0.404881,0.000211,-0.004349
wing,0,sd7037,37,0.411668,0.00023,-0.004733
wing,0,sd7037,38,0.419606,0.000239,-0.004936
wing,0,sd7037,39,0.428624,0.000241,-0.004973
wing,0,sd7037,40,0.438633,0.000236,-0.004862
wing,0,sd7037,41,0.449525,0.000224,-0.004628
wing,0,sd7037,42,0.461185,0.000208,-0.004292
wing,0,sd7037,43,0.473474,0.000188,-0.003881
wing,0,sd7037,44,0.486256,0.000166,-0.003416
wing,0,sd7037,45,0.499375,0.000141,-0.002912
wing,0,sd7037,46,0.512681,0.000116,-0.002388
wing,0,sd7037,47,0.526022,9e-05,-0.00186
wing,0,sd7037,48,0.539239,6.5e-05,-0.001343
wing,0,sd7037,49,0.552183,4.1e-05,-0.000854
wing,0,sd7037,50,0.564697,2e-05,-0.000411
wing,0,sd7037,51,0.576636,2e-06,-3.4e-05
wing,0,sd7037,52,0.587842,-1.2e-05,0.000255
wing,0,sd7037,53,0.598162,-2.2e-05,0.000445
wing,0,sd7037,54,0.607452,-2.6e-05,0.000538
wing,0,sd7037,55,0.615574,-2.6e-05,0.000533
wing,0,sd7037,56,0.622405,-2.2e-05,0.000453
wing,0,sd7037,57,0.627839,-1.6e-05,0.000323
