surface,station,airfoil,chord_m,twist_deg,x_le_m,y_le_m,z_le_m,x_te_m,y_te_m,z_te_m,symmetric
wing,0,sd7037,0.245,0.0,0.39,0.0,0.0,0.635,0.0,0.0,True
wing,1,sd7037,0.226653,0.0,0.408347,0.288411,0.013987,0.635,0.288411,0.013987,True
wing,2,sd7037,0.199744,0.0,0.435256,0.576822,0.027974,0.635,0.576822,0.027974,True
wing,3,sd7037,0.1631,0.0,0.4719,0.875224,0.042446,0.635,0.875224,0.042446,True
wing,4,sd7037,0.139979,0.0,0.495021,0.998826,0.04844,0.635,0.998826,0.04844,True
vtail,0,naca0009,0.095054,0.0,1.33156,0.0,0.0,1.426614,0.0,0.0,True
vtail,1,naca0009,0.091584,0.0,1.33503,0.128933,0.181897,1.426614,0.128933,0.181897,True
