surface,station,airfoil,chord_m,twist_deg,x_le_m,y_le_m,z_le_m,x_te_m,y_te_m,z_te_m,symmetric
wing,0,sd7037,0.275,-0.0,0.39,0.0,0.0,0.665,0.0,0.0,True
wing,1,sd7037,0.265789,-0.0,0.399211,0.365315,0.027064,0.665,0.365315,0.027064,True
wing,2,sd7037,0.231898,-0.0,0.433102,0.730629,0.054128,0.665,0.730629,0.054128,True
wing,3,sd7037,0.191673,-0.0,0.473327,0.919171,0.068096,0.665,0.919171,0.068096,True
wing,4,sd7037,0.137325,-0.0,0.527675,0.997267,0.073882,0.665,0.997267,0.073882,True
vtail,0,naca0009,0.091758,0.0,1.546913,0.0,0.0,1.638671,0.0,0.0,True
vtail,1,naca0009,0.091342,0.0,1.547329,0.142054,0.18406,1.638671,0.142054,0.18406,True
winglet,0,sd7037,0.09155,-3.0,0.57345,0.997267,0.073882,0.664875,0.992479,0.074049,True
winglet,1,sd7037,0.09155,-3.0,0.593028,1.0,0.152144,0.684452,0.995212,0.152312,True
