surface,station,airfoil,point,x_m,y_m,z_m
wing,1,sd7037,38,0.431329,0.365711,0.021718
wing,1,sd7037,39,0.441112,0.365714,0.021678
wing,1,sd7037,40,0.45197,0.365705,0.021797
wing,1,sd7037,41,0.463787,0.365686,0.022052
wing,1,sd7037,42,0.476436,0.365659,0.022415
wing,1,sd7037,43,0.489768,0.365626,0.02286
wing,1,sd7037,44,0.503634,0.365589,0.023364
wing,1,sd7037,45,0.517867,0.365548,0.02391
wing,1,sd7037,46,0.532302,0.365506,0.024477
wing,1,sd7037,47,0.546774,0.365464,0.02505
wing,1,sd7037,48,0.561114,0.365422,0.025609
wing,1,sd7037,49,0.575155,0.365383,0.026139
wing,1,sd7037,50,0.588732,0.365348,0.026619
wing,1,sd7037,51,0.601684,0.365317,0.027027
wing,1,sd7037,52,0.613841,0.365294,0.02734
wing,1,sd7037,53,0.625036,0.365279,0.027546
wing,1,sd7037,54,0.635115,0.365271,0.027647
wing,1,sd7037,55,0.643926,0.365272,0.027642
wing,1,sd7037,56,0.651336,0.365278,0.027554
wing,1,sd7037,57,0.657231,0.365289,0.027414
wing,1,sd7037,58,0.661518,0.365301,0.027252
wing,1,sd7037,59,0.664126,0.365311,0.02712
wing,1,sd7037,60,0.665,0.365315,0.027064
wing,2,sd7037,0,0.665,0.730629,0.054128
wing,2,sd7037,1,0.664239,0.730622,0.054225
wing,2,sd7037,2,0.662002,0.730598,0.054544
wing,2,sd7037,3,0.658382,0.730555,0.055136
wing,2,sd7037,4,0.6535,0.73049,0.056004
wing,2,sd7037,5,0.647492,0.730407,0.057123
wing,2,sd7037,6,0.640477,0.73031,0.058441
wing,2,sd7037,7,0.632569,0.730203,0.059887
wing,2,sd7037,8,0.623864,0.730091,0.061392
wing,2,sd7037,9,0.614449,0.72998,0.062888
wing,2,sd7037,10,0.604394,0.729873,0.064334
wing,2,sd7037,11,0.593793,0.729771,0.065717
wing,2,sd7037,12,0.582767,0.729675,0.067014
wing,2,sd7037,13,0.571441,0.729587,0.068201
wing,2,sd7037,14,0.559934,0.729509,0.069248
wing,2,sd7037,15,0.548369,0.729444,0.070125
wing,2,sd7037,16,0.536865,0.729394,0.070805
wing,2,sd7037,17,0.525541,0.72936,0.071265
wing,2,sd7037,18,0.514501,0.729344,0.071482
wing,2,sd7037,19,0.50385,0.729346,0.071445
wing,2,sd7037,20,0.493686,0.729369,0.071145
wing,2,sd7037,21,0.484094,0.729411,0.070578
wing,2,sd7037,22,0.475162,0.729472,0.069748
wing,2,sd7037,23,0.466962,0.729552,0.068665
wing,2,sd7037,24,0.459562,0.72965,0.067345
wing,2,sd7037,25,0.453013,0.729764,0.065805
wing,2,sd7037,26,0.447355,0.729893,0.064072
wing,2,sd7037,27,0.442615,0.730032,0.06219
wing,2,sd7037,28,0.438812,0.730178,0.060215
wing,2,sd7037,29,0.435959,0.730326,0.058221
wing,2,sd7037,30,0.434072,0.730469,0.056293
wing,2,sd7037,31,0.433151,0.730598,0.054556
wing,2,sd7037,32,0.433397,0.730697,0.053219
wing,2,sd7037,33,0.434971,0.730773,0.052188
wing,2,sd7037,34,0.437828,0.73084,0.051291
wing,2,sd7037,35,0.441914,0.730893,0.050564
wing,2,sd7037,36,0.447188,0.730934,0.050019
wing,2,sd7037,37,0.453611,0.730961,0.049655
wing,2,sd7037,38,0.461125,0.730975,0.049464
wing,2,sd7037,39,0.469661,0.730977,0.049429
wing,2,sd7037,40,0.479134,0.73097,0.049533
wing,2,sd7037,41,0.489444,0.730953,0.049755
wing,2,sd7037,42,0.50048,0.73093,0.050072
wing,2,sd7037,43,0.512112,0.730901,0.05046
wing,2,sd7037,44,0.52421,0.730868,0.0509
wing,2,sd7037,45,0.536628,0.730833,0.051376
wing,2,sd7037,46,0.549223,0.730797,0.051871
wing,2,sd7037,47,0.56185,0.73076,0.052371
wing,2,sd7037,48,0.57436,0.730723,0.052858
wing,2,sd7037,49,0.586612,0.730689,0.053321
wing,2,sd7037,50,0.598457,0.730658,0.05374
wing,2,sd7037,51,0.609757,0.730632,0.054096
wing,2,sd7037,52,0.620364,0.730611,0.054369
wing,2,sd7037,53,0.630132,0.730598,0.054549
wing,2,sd7037,54,0.638925,0.730592,0.054637
wing,2,sd7037,55,0.646613,0.730592,0.054632
wing,2,sd7037,56,0.653078,0.730598,0.054556
wing,2,sd7037,57,0.658222,0.730607,0.054433
wing,2,sd7037,58,0.661962,0.730617,0.054292
