surface,edge,station,x_m,y_m,z_m,chord_m,span_station_m,next_segment_dihedral_deg,symmetric
wing,LE,0,0.39,0.0,0.0,0.251021,0.0,2.122,True
wing,TE,0,0.641021,0.0,0.0,0.251021,0.0,2.122,True
wing,LE,1,0.413087,0.288552,0.010693,0.227934,0.28875,2.122,True
wing,TE,1,0.641021,0.288552,0.010693,0.227934,0.28875,2.122,True
wing,LE,2,0.443038,0.577104,0.021386,0.197983,0.5775,2.122,True
wing,TE,2,0.641021,0.577104,0.021386,0.197983,0.5775,2.122,True
wing,LE,3,0.480412,0.875652,0.032449,0.160608,0.876253,2.122,True
wing,TE,3,0.641021,0.875652,0.032449,0.160608,0.876253,2.122,True
wing,LE,4,0.501042,0.999314,0.037032,0.139979,1.0,,True
wing,TE,4,0.641021,0.999314,0.037032,0.139979,1.0,,True
vtail,LE,0,1.402937,0.0,0.0,0.093904,0.0,54.082,True
vtail,TE,0,1.49684,0.0,0.0,0.093904,0.0,54.082,True
vtail,LE,1,1.404106,0.123774,0.170873,0.092734,0.210992,,True
vtail,TE,1,1.49684,0.123774,0.170873,0.092734,0.210992,,True
