surface,airfoil,span_mm,area_m2,root_chord_mm,tip_chord_mm,sections,mirrored
wing,sd7037,2000.0,0.40561,251.0,140.0,5,True
vtail,naca0009,422.0,0.03938,93.9,92.7,2,True
