surface,station,airfoil,chord_m,twist_deg,x_le_m,y_le_m,z_le_m,x_te_m,y_te_m,z_te_m,symmetric
wing,0,sd7037,0.275,-0.0,0.39,0.0,0.0,0.665,0.0,0.0,True
wing,1,sd7037,0.252276,-0.0,0.412724,0.424741,0.014844,0.665,0.424741,0.014844,True
wing,2,sd7037,0.192348,-0.0,0.472652,0.849481,0.029689,0.665,0.849481,0.029689,True
wing,3,sd7037,0.163169,-0.0,0.501831,0.955483,0.033393,0.665,0.955483,0.033393,True
wing,4,sd7037,0.136507,-0.0,0.528493,0.99939,0.034928,0.665,0.99939,0.034928,True
vtail,0,naca0009,0.091088,0.0,1.553394,0.0,0.0,1.644482,0.0,0.0,True
vtail,1,naca0009,0.090922,0.0,1.55356,0.142635,0.179311,1.644482,0.142635,0.179311,True
