surface,station,airfoil,chord_m,twist_deg,x_le_m,y_le_m,z_le_m,x_te_m,y_te_m,z_te_m,symmetric
wing,0,sd7037,0.217418,-0.0,0.39,0.0,0.0,0.607418,0.0,0.0,True
wing,1,sd7037,0.199508,-0.0323,0.40791,0.288574,0.010085,0.607418,0.28857,0.010198,True
wing,2,sd7037,0.181598,-0.0646,0.42582,0.577148,0.020171,0.607418,0.577141,0.020375,True
wing,3,sd7037,0.152169,-0.1176,0.45525,1.051327,0.036743,0.607418,1.051316,0.037055,True
wing,4,sd7037,0.139979,-0.1396,0.46744,1.247738,0.043607,0.607418,1.247726,0.043948,True
vtail,0,naca0009,0.118809,0.0,1.414321,0.0,0.0,1.53313,0.0,0.0,True
vtail,1,naca0009,0.108472,0.0,1.424658,0.128653,0.183736,1.53313,0.128653,0.183736,True
winglet,0,sd7037,0.094283,-2.4934,0.513135,1.247738,0.043607,0.607329,1.244378,0.04596,True
winglet,1,sd7037,0.092355,-2.4934,0.534157,1.295968,0.112486,0.626425,1.292676,0.114791,True
