surface,station,airfoil,point,x_m,y_m,z_m
wing,0,sd7037,0,0.641021,0.0,0.0
wing,0,sd7037,1,0.640197,-4e-06,0.000105
wing,0,sd7037,2,0.637775,-1.7e-05,0.000452
wing,0,sd7037,3,0.633857,-4.1e-05,0.001094
wing,0,sd7037,4,0.628573,-7.5e-05,0.002034
wing,0,sd7037,5,0.622069,-0.00012,0.003248
wing,0,sd7037,6,0.614475,-0.000173,0.004678
wing,0,sd7037,7,0.605916,-0.000231,0.006246
wing,0,sd7037,8,0.596492,-0.000292,0.007879
wing,0,sd7037,9,0.586301,-0.000352,0.009502
wing,0,sd7037,10,0.575416,-0.00041,0.01107
wing,0,sd7037,11,0.563942,-0.000466,0.01257
wing,0,sd7037,12,0.552006,-0.000518,0.013977
wing,0,sd7037,13,0.539746,-0.000566,0.015264
wing,0,sd7037,14,0.527291,-0.000608,0.0164
wing,0,sd7037,15,0.514772,-0.000643,0.017351
wing,0,sd7037,16,0.502319,-0.00067,0.018089
wing,0,sd7037,17,0.490062,-0.000689,0.018588
wing,0,sd7037,18,0.478111,-0.000698,0.018824
wing,0,sd7037,19,0.466581,-0.000696,0.018784
wing,0,sd7037,20,0.455579,-0.000684,0.018457
wing,0,sd7037,21,0.445197,-0.000661,0.017843
wing,0,sd7037,22,0.435528,-0.000628,0.016942
wing,0,sd7037,23,0.426652,-0.000584,0.015768
wing,0,sd7037,24,0.418641,-0.000531,0.014336
wing,0,sd7037,25,0.411553,-0.000469,0.012665
wing,0,sd7037,26,0.405428,-0.0004,0.010786
wing,0,sd7037,27,0.400297,-0.000324,0.008745
wing,0,sd7037,28,0.39618,-0.000245,0.006602
wing,0,sd7037,29,0.393093,-0.000165,0.00444
wing,0,sd7037,30,0.391049,-8.7e-05,0.002348
wing,0,sd7037,31,0.390053,-1.7e-05,0.000464
wing,0,sd7037,32,0.390319,3.7e-05,-0.000986
wing,0,sd7037,33,0.392023,7.8e-05,-0.002105
wing,0,sd7037,34,0.395116,0.000114,-0.003078
wing,0,sd7037,35,0.399539,0.000143,-0.003866
