surface,station,airfoil,chord_m,twist_deg,x_le_m,y_le_m,z_le_m,x_te_m,y_te_m,z_te_m,symmetric
wing,0,sd7037,0.251021,0.0,0.39,0.0,0.0,0.641021,0.0,0.0,True
wing,1,sd7037,0.227934,0.0,0.413087,0.288552,0.010693,0.641021,0.288552,0.010693,True
wing,2,sd7037,0.197983,0.0,0.443038,0.577104,0.021386,0.641021,0.577104,0.021386,True
wing,3,sd7037,0.160608,0.0,0.480412,0.875652,0.032449,0.641021,0.875652,0.032449,True
wing,4,sd7037,0.139979,0.0,0.501042,0.999314,0.037032,0.641021,0.999314,0.037032,True
vtail,0,naca0009,0.093904,0.0,1.402937,0.0,0.0,1.49684,0.0,0.0,True
vtail,1,naca0009,0.092734,0.0,1.404106,0.123774,0.170873,1.49684,0.123774,0.170873,True
