part,qty,od_mm,wall_mm,bore_mm,length_mm,mass_g,root_moment_Nm,stress_MPa,stress_allow_MPa,stress_margin_pct,tip_defl_mm,defl_allow_mm,defl_margin_pct,stock_length_mm
centre carry-through,1,10.0,1.0,8.0,350.0,15.8,19.7,339.9,200.0,-41.2,25.2,17.5,-30.6,700.0
outer panel,2,8.0,1.0,6.0,467.5,16.4,6.82,198.3,200.0,0.8,32.8,23.4,-28.8,467.5
