surface,station,airfoil,chord_m,twist_deg,x_le_m,y_le_m,z_le_m,x_te_m,y_te_m,z_te_m,symmetric
wing,0,sd7037,0.245,0.0,0.39,0.0,0.0,0.635,0.0,0.0,True
wing,1,sd7037,0.224729,0.0,0.410271,0.288449,0.013182,0.635,0.288449,0.013182,True
wing,2,sd7037,0.196988,0.0,0.438012,0.576898,0.026365,0.635,0.576898,0.026365,True
wing,3,sd7037,0.161025,0.0,0.473975,0.875339,0.040004,0.635,0.875339,0.040004,True
wing,4,sd7037,0.139979,0.0,0.495021,0.998957,0.045653,0.635,0.998957,0.045653,True
vtail,0,naca0009,0.094856,0.0,1.338492,0.0,0.0,1.433348,0.0,0.0,True
vtail,1,naca0009,0.091782,0.0,1.341566,0.126919,0.179154,1.433348,0.126919,0.179154,True
