surface,airfoil,span_mm,area_m2,root_chord_mm,tip_chord_mm,sections,mirrored
wing,sd7037,2000.0,0.40561,251.1,140.0,5,True
vtail,naca0009,421.5,0.03933,93.6,93.0,2,True
