part,qty,od_mm,wall_mm,bore_mm,length_mm,mass_g,root_moment_Nm,stress_MPa,stress_allow_MPa,stress_margin_pct,tip_defl_mm,defl_allow_mm,defl_margin_pct,stock_length_mm
centre carry-through,1,17.44,0.6,16.24,850.0,43.2,21.89,169.3,200.0,18.1,42.5,42.5,-0.0,1700.0
outer panel,2,5.0,0.5,4.0,127.5,1.4,0.36,49.7,200.0,302.5,1.0,6.4,551.1,127.5
