surface,airfoil,span_mm,area_m2,root_chord_mm,tip_chord_mm,sections,mirrored
wing,sd7037,2000.0,0.40161,245.0,140.0,5,True
vtail,naca0009,439.1,0.04098,94.9,91.8,2,True
