surface,station,airfoil,chord_m,twist_deg,x_le_m,y_le_m,z_le_m,x_te_m,y_te_m,z_te_m,symmetric
wing,0,sd7037,0.275,0.0,0.39,0.0,0.0,0.665,0.0,0.0,True
wing,1,sd7037,0.267293,0.0,0.397707,0.288574,0.010085,0.665,0.288574,0.010085,True
wing,2,sd7037,0.245147,0.0,0.419853,0.577148,0.020171,0.665,0.577148,0.020171,True
wing,3,sd7037,0.197284,0.0,0.467716,0.875718,0.030606,0.665,0.875718,0.030606,True
wing,4,sd7037,0.136963,0.0,0.528037,0.99939,0.034928,0.665,0.99939,0.034928,True
vtail,0,naca0009,0.091904,0.0,1.53904,0.0,0.0,1.630944,0.0,0.0,True
vtail,1,naca0009,0.090714,0.0,1.54023,0.148007,0.185754,1.630944,0.148007,0.185754,True
