surface,edge,station,x_m,y_m,z_m,chord_m,span_station_m,next_segment_dihedral_deg,symmetric
wing,LE,0,0.39,0.0,0.0,0.245,0.0,2.777,True
wing,TE,0,0.635,0.0,0.0,0.245,0.0,2.777,True
wing,LE,1,0.408347,0.288411,0.013987,0.226653,0.28875,2.777,True
wing,TE,1,0.635,0.288411,0.013987,0.226653,0.28875,2.777,True
wing,LE,2,0.435256,0.576822,0.027974,0.199744,0.5775,2.777,True
wing,TE,2,0.635,0.576822,0.027974,0.199744,0.5775,2.777,True
wing,LE,3,0.4719,0.875224,0.042446,0.1631,0.876253,2.777,True
wing,TE,3,0.635,0.875224,0.042446,0.1631,0.876253,2.777,True
wing,LE,4,0.495021,0.998826,0.04844,0.139979,1.0,,True
wing,TE,4,0.635,0.998826,0.04844,0.139979,1.0,,True
vtail,LE,0,1.33156,0.0,0.0,0.095054,0.0,54.67,True
vtail,TE,0,1.426614,0.0,0.0,0.095054,0.0,54.67,True
vtail,LE,1,1.33503,0.128933,0.181897,0.091584,0.222958,,True
vtail,TE,1,1.426614,0.128933,0.181897,0.091584,0.222958,,True
